Empfaenger;Empfaenger_Strasse;Empfaenger_PLZ;Empfaenger_Ort;Paletten;VP;Liefertermin;LieferzeitVon;LieferzeitBis;Abholtermin;Inhalt;Packzettelnummer;Gewicht;Lieferschein;Telefon;EMail;Bemerkung;Transportart;Lieferhinweis;Avisieren;Absender;Absender_Strasse;Absender_PLZ;Absender_Ort;Entladehilfe;Bestellnummer
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-16;229980;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-16;229981;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-16;229984;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Pfeffer & Salz, 16-22;230000;325.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Hellgrauer Graniteinkehrsand 0,1-2 mm;230005;1035.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;0;EP;;;;03.06.2024;Pandasplitt, 8-12;230007;120.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;0;EP;;;;03.06.2024;Yellow Sun, 8-16;230010;40.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Lavadur, 8-16;230002;825.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Glanzkies schwarz, 35-60;230013;575.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Polar GS, 60-90;229993;1375.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Moräne Grobkies, 50-150;229998;1075.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Nero Quarzit SS, 32-56;229997;825.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Beach Pebbles, 8-16;229999;1075.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;0;EP;;;;03.06.2024;Donaukies, 16-32;230008;100.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;2;EP;;;;03.06.2024;Bianco Vena SS 30-60;229994;2150.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;2;EP;;;;03.06.2024;Bianco Vena SS 30-60;229995;2150.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;0;EP;;;;03.06.2024;Marmor Grün GS, 80-150;230011;40.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-22;229982;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-22;229985;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;2;FP;;;;03.06.2024;Lavadur, 8-16;229986;2070.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;2;FP;;;;03.06.2024;Lavadur, 8-16;229987;2070.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;5;FP;;;;03.06.2024;Basalt, 0,02-2,2;229988;6375.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;5;FP;;;;03.06.2024;Basalt, 0,02-2,2;229989;6375.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;5;FP;;;;03.06.2024;Basalt, 0,02-2,2;229990;6375.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;5;FP;;;;03.06.2024;Basalt, 0,02-2,2;229991;6375.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;5;FP;;;;03.06.2024;Basalt, 0,02-2,2;229992;6375.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
